edgename	CI	
kALDOdhap (pp3) KPTSg6p	20.232959	
kALDOdhap (pp3) nPTSg6p	20.232959	
KPTSg6p (pp3) nPTSg6p	20.232959	
kALDOeq (pp3) KPTSg6p	20.130065	
kALDOeq (pp3) nPTSg6p	20.130065	
KPTSg6p (pp3) nPTSg6p	20.130065	
kALDOfdp (pp3) kALDOgapinh	44.518209	
kALDOfdp (pp3) rmaxALDO	44.518209	
kALDOgapinh (pp3) rmaxALDO	44.518209	
kALDOfdp (pp3) KPTSg6p	20.59678	
kALDOfdp (pp3) nPTSg6p	20.59678	
KPTSg6p (pp3) nPTSg6p	20.59678	
kALDOgapinh (pp3) KPTSg6p	21.424711	
kALDOgapinh (pp3) nPTSg6p	21.424711	
KPTSg6p (pp3) nPTSg6p	21.424711	
kALDOgapinh (pp3) kTISdhap	34.646546	
kALDOgapinh (pp3) rmaxALDO	34.646546	
kTISdhap (pp3) rmaxALDO	34.646546	
KDAHPSe4p (pp3) KpepCxylasefdp	20.511217	
KDAHPSe4p (pp3) rmaxpepCxylase	20.511217	
KpepCxylasefdp (pp3) rmaxpepCxylase	20.511217	
KDAHPSe4p (pp3) KPTSg6p	20.928544	
KDAHPSe4p (pp3) nPTSg6p	20.928544	
KPTSg6p (pp3) nPTSg6p	20.928544	
KDAHPSe4p (pp3) KR5PIeq	20.508561	
KDAHPSe4p (pp3) KRu5Peq	20.508561	
KR5PIeq (pp3) KRu5Peq	20.508561	
KDAHPSe4p (pp3) KR5PIeq	31.208819	
KDAHPSe4p (pp3) KTAeq	31.208819	
KR5PIeq (pp3) KTAeq	31.208819	
KDAHPSe4p (pp3) KR5PIeq	24.191854	
KDAHPSe4p (pp3) KTKaeq	24.191854	
KR5PIeq (pp3) KTKaeq	24.191854	
KDAHPSe4p (pp3) KRu5Peq	51.968773	
KDAHPSe4p (pp3) KTAeq	51.968773	
KRu5Peq (pp3) KTAeq	51.968773	
KDAHPSe4p (pp3) KRu5Peq	40.071892	
KDAHPSe4p (pp3) KTKaeq	40.071892	
KRu5Peq (pp3) KTKaeq	40.071892	
KENOeq (pp3) KPTSg6p	20.813681	
KENOeq (pp3) nPTSg6p	20.813681	
KPTSg6p (pp3) nPTSg6p	20.813681	
KG1PATfdp (pp3) KPTSg6p	20.004594	
KG1PATfdp (pp3) nPTSg6p	20.004594	
KPTSg6p (pp3) nPTSg6p	20.004594	
KG6PDHnadp (pp3) KPTSg6p	20.159204	
KG6PDHnadp (pp3) nPTSg6p	20.159204	
KPTSg6p (pp3) nPTSg6p	20.159204	
KG6PDHnadphnadpinh (pp3) KPTSg6p	20.180362	
KG6PDHnadphnadpinh (pp3) nPTSg6p	20.180362	
KPTSg6p (pp3) nPTSg6p	20.180362	
KGAPDHeq (pp3) KPTSg6p	23.541999	
KGAPDHeq (pp3) nPTSg6p	23.541999	
KPTSg6p (pp3) nPTSg6p	23.541999	
KGAPDHeq (pp3) KPTSg6p	20.270802	
KGAPDHeq (pp3) rmaxPTS	20.270802	
KPTSg6p (pp3) rmaxPTS	20.270802	
KGAPDHgap (pp3) KGAPDHnad	31.122009	
KGAPDHgap (pp3) KPGKadp	31.122009	
KGAPDHnad (pp3) KPGKadp	31.122009	
KGAPDHgap (pp3) KPTSg6p	20.867224	
KGAPDHgap (pp3) nPTSg6p	20.867224	
KPTSg6p (pp3) nPTSg6p	20.867224	
KGAPDHnad (pp3) KGAPDHpgp	29.11298	
KGAPDHnad (pp3) KPGKadp	29.11298	
KGAPDHpgp (pp3) KPGKadp	29.11298	
KGAPDHnad (pp3) KPGKadp	25.626067	
KGAPDHnad (pp3) rmaxGAPDH	25.626067	
KPGKadp (pp3) rmaxGAPDH	25.626067	
KGAPDHnad (pp3) KPTSg6p	21.07032	
KGAPDHnad (pp3) nPTSg6p	21.07032	
KPTSg6p (pp3) nPTSg6p	21.07032	
KGAPDHpgp (pp3) KPTSg6p	20.867984	
KGAPDHpgp (pp3) nPTSg6p	20.867984	
KPTSg6p (pp3) nPTSg6p	20.867984	
KPDHpyr (pp3) KPFKampa	20.21266	
KPDHpyr (pp3) nPDH	20.21266	
KPFKampa (pp3) nPDH	20.21266	
KPDHpyr (pp3) KPFKampa	20.928203	
KPDHpyr (pp3) rmaxPDH	20.928203	
KPFKampa (pp3) rmaxPDH	20.928203	
KPDHpyr (pp3) KPFKampb	20.230612	
KPDHpyr (pp3) nPDH	20.230612	
KPFKampb (pp3) nPDH	20.230612	
KPDHpyr (pp3) KPFKampb	20.877454	
KPDHpyr (pp3) rmaxPDH	20.877454	
KPFKampb (pp3) rmaxPDH	20.877454	
KPDHpyr (pp3) KPFKatps	20.006258	
KPDHpyr (pp3) rmaxPDH	20.006258	
KPFKatps (pp3) rmaxPDH	20.006258	
KPDHpyr (pp3) KPGIg6p	20.361822	
KPDHpyr (pp3) nPDH	20.361822	
KPGIg6p (pp3) nPDH	20.361822	
KPDHpyr (pp3) KPGIg6p	20.453661	
KPDHpyr (pp3) rmaxPDH	20.453661	
KPGIg6p (pp3) rmaxPDH	20.453661	
KPDHpyr (pp3) KPGIg6ppginh	20.366003	
KPDHpyr (pp3) nPDH	20.366003	
KPGIg6ppginh (pp3) nPDH	20.366003	
KPDHpyr (pp3) KPGIg6ppginh	20.457437	
KPDHpyr (pp3) rmaxPDH	20.457437	
KPGIg6ppginh (pp3) rmaxPDH	20.457437	
KPDHpyr (pp3) KPTSa3	20.985405	
KPDHpyr (pp3) nPDH	20.985405	
KPTSa3 (pp3) nPDH	20.985405	
KPDHpyr (pp3) KPTSa3	21.240196	
KPDHpyr (pp3) rmaxPDH	21.240196	
KPTSa3 (pp3) rmaxPDH	21.240196	
KPDHpyr (pp3) KPTSg6p	20.403433	
KPDHpyr (pp3) nPTSg6p	20.403433	
KPTSg6p (pp3) nPTSg6p	20.403433	
KPDHpyr (pp3) nPDH	20.363788	
KPDHpyr (pp3) rmaxPGI	20.363788	
nPDH (pp3) rmaxPGI	20.363788	
KPDHpyr (pp3) nPDH	22.521875	
KPDHpyr (pp3) rmaxSynth2	22.521875	
nPDH (pp3) rmaxSynth2	22.521875	
KPDHpyr (pp3) rmaxPDH	20.457614	
KPDHpyr (pp3) rmaxPGI	20.457614	
rmaxPDH (pp3) rmaxPGI	20.457614	
