edgename	CI	
par2 (pp) par3	41.282804	
par2 (pp) par4	51.848118	
par2 (pp) par5	65.04585	
par2 (pp) par7	105.03925	
par2 (pp) par8	86.523594	
par3 (pp) par4	23.182118	
par3 (pp) par5	26.031085	
par3 (pp) par7	61.780272	
par3 (pp) par8	28.323336	
par4 (pp) par5	173.59065	
par4 (pp) par7	36.661999	
par4 (pp) par8	127.0089	
par5 (pp) par7	44.766723	
par5 (pp) par8	218.42823	
par7 (pp) par8	51.130548	
par9 (pp) par10	45.641322	
par9 (pp) par11	184.88291	
par9 (pp) par12	48.662432	
par10 (pp) par11	36.710214	
par10 (pp) par12	734.88848	
par11 (pp) par12	38.636331	
par13 (pp) par15	53.250062	
par14 (pp) par16	1245.8228	
par17 (pp) par18	26.37411	
par17 (pp) par19	31.249446	
par17 (pp) par94	23.659064	
par17 (pp) par96	26.426843	
par18 (pp) par19	166.39117	
par18 (pp) par94	228.19642	
par18 (pp) par96	6457.4263	
par19 (pp) par94	96.259419	
par19 (pp) par96	168.23807	
par20 (pp) par93	6254.1815	
par23 (pp) par24	69.666741	
par23 (pp) par25	437.28821	
par24 (pp) par25	82.801876	
par26 (pp) par27	334.33219	
par26 (pp) par28	382.4167	
par26 (pp) par29	445.5949	
par26 (pp) par30	1142.0856	
par26 (pp) par31	1457.9876	
par27 (pp) par28	2220.0961	
par27 (pp) par29	1338.1812	
par27 (pp) par30	472.5951	
par27 (pp) par31	274.05601	
par28 (pp) par29	2294.7274	
par28 (pp) par30	573.78901	
par28 (pp) par31	307.08651	
par29 (pp) par30	730.09141	
par29 (pp) par31	344.26649	
par30 (pp) par31	649.6733	
par33 (pp) par34	50.205704	
par33 (pp) par35	1079.3363	
par34 (pp) par35	51.653985	
par36 (pp) par37	93.97852	
par36 (pp) par38	109.54423	
par36 (pp) par39	28.969066	
par36 (pp) par40	110.06028	
par36 (pp) par41	250.71941	
par36 (pp) par42	259.11631	
par37 (pp) par38	652.14332	
par37 (pp) par39	41.862986	
par37 (pp) par40	641.32542	
par37 (pp) par41	70.067143	
par37 (pp) par42	69.500628	
par38 (pp) par39	39.381079	
par38 (pp) par40	2890.8212	
par38 (pp) par41	78.498598	
par38 (pp) par42	77.757088	
par39 (pp) par40	39.299135	
par39 (pp) par41	26.303002	
par39 (pp) par42	26.169786	
par40 (pp) par41	78.43907	
par40 (pp) par42	77.838881	
par41 (pp) par42	1153.8367	
par43 (pp) par45	32.376306	
par43 (pp) par47	28.516697	
par43 (pp) par48	28.516697	
par43 (pp) par49	28.365806	
par44 (pp) par45	36.628866	
par44 (pp) par47	44.661761	
par44 (pp) par48	44.661761	
par44 (pp) par49	44.790303	
par44 (pp) par50	37.751775	
par44 (pp) par107	91.188375	
par44 (pp) par108	2948.4174	
par45 (pp) par47	178.68254	
par45 (pp) par48	178.68254	
par45 (pp) par49	189.59171	
par45 (pp) par107	26.186986	
par45 (pp) par108	36.944229	
par46 (pp) par50	20.093141	
par47 (pp) par48	3.3465209e+15	
par47 (pp) par49	1180.77	
