name	type	
CL_m	state	
CL_c	state	
CL_n	state	
CT_m	state	
CT_c	state	
CT_n	state	
CP_n	state	
n1	non-id param	
n2	non-id param	
g1	non-id param	
g2	non-id param	
m1	non-id param	
m2	id param	
m3	non-id param	
m4	non-id param	
m5	non-id param	
m6	non-id param	
m7	non-id param	
k1	non-id param	
k2	non-id param	
k3	id param	
k4	id param	
k5	id param	
k6	non-id param	
k7	non-id param	
p1	non-id param	
p2	id param	
p3	non-id param	
r1	non-id param	
r2	non-id param	
r3	non-id param	
r4	non-id param	
q1	id param	
q2	non-id param	
Lum	obs	
mRNAa	obs	
Lum	obs	
mRNAa	obs	
light	input	
