edgename	CI	
n1 (pp) g1	34.0663	
n1 (pp) m1	72.0957	
n1 (pp) k1	43.6789	
n1 (pp) r3	29.0109	
n1 (pp) r4	40.4434	
g1 (pp) m1	27.0097	
g1 (pp) k1	77.3523	
g1 (pp) r3	89.8484	
g1 (pp) r4	98.4867	
g2 (pp) p1	22.0091	
g2 (pp) r1	23.8822	
m1 (pp) k1	37.5213	
m1 (pp) r3	22.8682	
m1 (pp) r4	28.9171	
m7 (pp) k7	554.301	
m7 (pp) p3	311.755	
m7 (pp) q1	171.571	
m7 (pp) q2	124.387	
k1 (pp) r3	46.2924	
k1 (pp) r4	62.4189	
k7 (pp) p3	200.206	
k7 (pp) q1	131.847	
k7 (pp) q2	158.132	
p3 (pp) q1	377.113	
p3 (pp) q2	89.0166	
r1 (pp) r2	25.0357	
r3 (pp) r4	99.5295	
q1 (pp) q2	72.1122	
