edgename	CI	
n1 (pp3) n2	35.623425	
n1 (pp3) m4	35.623425	
n2 (pp3) m4	35.623425	
n1 (pp3) n2	34.659977	
n1 (pp3) k4	34.659977	
n2 (pp3) k4	34.659977	
n1 (pp3) g2	21.546176	
n1 (pp3) m2	21.546176	
g2 (pp3) m2	21.546176	
n1 (pp3) g2	24.263619	
n1 (pp3) m3	24.263619	
g2 (pp3) m3	24.263619	
n1 (pp3) g2	21.899408	
n1 (pp3) k2	21.899408	
g2 (pp3) k2	21.899408	
n1 (pp3) g2	27.264083	
n1 (pp3) k3	27.264083	
g2 (pp3) k3	27.264083	
n1 (pp3) g2	21.025559	
n1 (pp3) r2	21.025559	
g2 (pp3) r2	21.025559	
n1 (pp3) m2	20.827928	
n1 (pp3) p1	20.827928	
m2 (pp3) p1	20.827928	
n1 (pp3) m2	21.388052	
n1 (pp3) r1	21.388052	
m2 (pp3) r1	21.388052	
n1 (pp3) m3	36.246617	
n1 (pp3) p1	36.246617	
m3 (pp3) p1	36.246617	
n1 (pp3) m3	24.537468	
n1 (pp3) r1	24.537468	
m3 (pp3) r1	24.537468	
n1 (pp3) m3	21.469296	
n1 (pp3) r2	21.469296	
m3 (pp3) r2	21.469296	
n1 (pp3) m4	109.33573	
n1 (pp3) k4	109.33573	
m4 (pp3) k4	109.33573	
n1 (pp3) m5	39.440246	
n1 (pp3) p2	39.440246	
m5 (pp3) p2	39.440246	
n1 (pp3) m5	20.853853	
n1 (pp3) r2	20.853853	
m5 (pp3) r2	20.853853	
n1 (pp3) m6	23.067383	
n1 (pp3) r1	23.067383	
m6 (pp3) r1	23.067383	
n1 (pp3) m6	20.554017	
n1 (pp3) r2	20.554017	
m6 (pp3) r2	20.554017	
n1 (pp3) k2	20.613824	
n1 (pp3) r1	20.613824	
k2 (pp3) r1	20.613824	
n1 (pp3) k3	23.161236	
n1 (pp3) r1	23.161236	
k3 (pp3) r1	23.161236	
n1 (pp3) p1	31.382852	
n1 (pp3) r1	31.382852	
p1 (pp3) r1	31.382852	
n1 (pp3) p1	23.842758	
n1 (pp3) r2	23.842758	
p1 (pp3) r2	23.842758	
n1 (pp3) p2	20.377953	
n1 (pp3) r1	20.377953	
p2 (pp3) r1	20.377953	
n1 (pp3) p2	22.861711	
n1 (pp3) r2	22.861711	
p2 (pp3) r2	22.861711	
n2 (pp3) g1	32.518543	
n2 (pp3) m4	32.518543	
g1 (pp3) m4	32.518543	
n2 (pp3) g1	30.329528	
n2 (pp3) k4	30.329528	
g1 (pp3) k4	30.329528	
n2 (pp3) g2	55.330872	
n2 (pp3) m4	55.330872	
g2 (pp3) m4	55.330872	
n2 (pp3) g2	76.316471	
n2 (pp3) k4	76.316471	
g2 (pp3) k4	76.316471	
n2 (pp3) g2	103.19329	
n2 (pp3) r2	103.19329	
g2 (pp3) r2	103.19329	
n2 (pp3) m1	34.521954	
n2 (pp3) m4	34.521954	
m1 (pp3) m4	34.521954	
n2 (pp3) m1	32.535743	
n2 (pp3) k4	32.535743	
m1 (pp3) k4	32.535743	
n2 (pp3) m4	32.044396	
n2 (pp3) k1	32.044396	
m4 (pp3) k1	32.044396	
n2 (pp3) m4	20.769447	
n2 (pp3) k3	20.769447	
m4 (pp3) k3	20.769447	
n2 (pp3) m4	86.168102	
n2 (pp3) k4	86.168102	
m4 (pp3) k4	86.168102	
n2 (pp3) m4	33.854891	
n2 (pp3) p1	33.854891	
m4 (pp3) p1	33.854891	
n2 (pp3) m4	70.382808	
n2 (pp3) r1	70.382808	
m4 (pp3) r1	70.382808	
n2 (pp3) m4	65.841284	
n2 (pp3) r2	65.841284	
m4 (pp3) r2	65.841284	
n2 (pp3) m4	34.651203	
n2 (pp3) r3	34.651203	
m4 (pp3) r3	34.651203	
n2 (pp3) m4	34.269715	
n2 (pp3) r4	34.269715	
m4 (pp3) r4	34.269715	
n2 (pp3) k1	29.618731	
n2 (pp3) k4	29.618731	
k1 (pp3) k4	29.618731	
n2 (pp3) k2	20.40989	
n2 (pp3) k3	20.40989	
k2 (pp3) k3	20.40989	
n2 (pp3) k3	21.450883	
n2 (pp3) p1	21.450883	
k3 (pp3) p1	21.450883	
n2 (pp3) k4	32.123267	
n2 (pp3) p1	32.123267	
k4 (pp3) p1	32.123267	
n2 (pp3) k4	126.37577	
n2 (pp3) r1	126.37577	
k4 (pp3) r1	126.37577	
n2 (pp3) k4	96.078934	
n2 (pp3) r2	96.078934	
k4 (pp3) r2	96.078934	
n2 (pp3) k4	32.958999	
n2 (pp3) r3	32.958999	
k4 (pp3) r3	32.958999	
n2 (pp3) k4	32.704653	
n2 (pp3) r4	32.704653	
k4 (pp3) r4	32.704653	
n2 (pp3) p1	23.769923	
n2 (pp3) r2	23.769923	
p1 (pp3) r2	23.769923	
g1 (pp3) g2	20.32116	
g1 (pp3) m2	20.32116	
g2 (pp3) m2	20.32116	
g1 (pp3) g2	25.692239	
g1 (pp3) m3	25.692239	
g2 (pp3) m3	25.692239	
g1 (pp3) g2	20.753593	
g1 (pp3) k3	20.753593	
g2 (pp3) k3	20.753593	
g1 (pp3) m3	25.225795	
g1 (pp3) p1	25.225795	
m3 (pp3) p1	25.225795	
g1 (pp3) m3	20.980976	
g1 (pp3) r1	20.980976	
m3 (pp3) r1	20.980976	
g1 (pp3) m4	99.168063	
g1 (pp3) k4	99.168063	
m4 (pp3) k4	99.168063	
g1 (pp3) m5	20.182186	
g1 (pp3) r1	20.182186	
m5 (pp3) r1	20.182186	
g1 (pp3) m6	21.421695	
g1 (pp3) r1	21.421695	
m6 (pp3) r1	21.421695	
g1 (pp3) p1	28.159273	
g1 (pp3) r1	28.159273	
p1 (pp3) r1	28.159273	
g1 (pp3) p2	23.51991	
g1 (pp3) r1	23.51991	
p2 (pp3) r1	23.51991	
g2 (pp3) m1	21.764827	
g2 (pp3) m3	21.764827	
m1 (pp3) m3	21.764827	
g2 (pp3) m1	20.132171	
g2 (pp3) k2	20.132171	
m1 (pp3) k2	20.132171	
g2 (pp3) m1	24.387936	
g2 (pp3) k3	24.387936	
m1 (pp3) k3	24.387936	
g2 (pp3) m1	21.002242	
g2 (pp3) r2	21.002242	
m1 (pp3) r2	21.002242	
g2 (pp3) m2	25.552296	
g2 (pp3) r2	25.552296	
m2 (pp3) r2	25.552296	
g2 (pp3) m2	23.584084	
g2 (pp3) r3	23.584084	
m2 (pp3) r3	23.584084	
g2 (pp3) m2	23.321302	
g2 (pp3) r4	23.321302	
m2 (pp3) r4	23.321302	
g2 (pp3) m3	23.87793	
g2 (pp3) k1	23.87793	
m3 (pp3) k1	23.87793	
g2 (pp3) m3	22.169955	
g2 (pp3) r2	22.169955	
