edgename	CI	
n1 (pp) g1	34.066274	
n1 (pp) m1	72.095739	
n1 (pp) k1	43.678872	
n1 (pp) r3	29.010888	
n1 (pp) r4	40.443445	
g1 (pp) m1	27.009662	
g1 (pp) k1	77.35233	
g1 (pp) r3	89.848398	
g1 (pp) r4	98.486666	
g2 (pp) p1	22.009125	
g2 (pp) r1	23.882153	
m1 (pp) k1	37.521297	
m1 (pp) r3	22.868198	
m1 (pp) r4	28.917062	
m7 (pp) k7	554.30073	
m7 (pp) p3	311.75476	
m7 (pp) q1	171.57073	
m7 (pp) q2	124.38738	
k1 (pp) r3	46.292388	
k1 (pp) r4	62.418904	
k7 (pp) p3	200.20593	
k7 (pp) q1	131.84659	
k7 (pp) q2	158.13232	
p3 (pp) q1	377.11292	
p3 (pp) q2	89.016598	
r1 (pp) r2	25.035661	
r3 (pp) r4	99.529482	
q1 (pp) q2	72.112158	
n1 (pp) G1	35.623425	
n2 (pp) G1	35.623425	
m4 (pp) G1	35.623425	
n1 (pp) G2	34.659977	
n2 (pp) G2	34.659977	
k4 (pp) G2	34.659977	
n1 (pp) G3	21.546176	
g2 (pp) G3	21.546176	
m2 (pp) G3	21.546176	
n1 (pp) G4	24.263619	
g2 (pp) G4	24.263619	
m3 (pp) G4	24.263619	
n1 (pp) G5	21.899408	
g2 (pp) G5	21.899408	
k2 (pp) G5	21.899408	
n1 (pp) G6	27.264083	
g2 (pp) G6	27.264083	
k3 (pp) G6	27.264083	
n1 (pp) G7	21.025559	
g2 (pp) G7	21.025559	
r2 (pp) G7	21.025559	
n1 (pp) G8	20.827928	
m2 (pp) G8	20.827928	
p1 (pp) G8	20.827928	
n1 (pp) G9	21.388052	
m2 (pp) G9	21.388052	
r1 (pp) G9	21.388052	
n1 (pp) G10	36.246617	
m3 (pp) G10	36.246617	
p1 (pp) G10	36.246617	
n1 (pp) G11	24.537468	
m3 (pp) G11	24.537468	
r1 (pp) G11	24.537468	
n1 (pp) G12	21.469296	
m3 (pp) G12	21.469296	
r2 (pp) G12	21.469296	
n1 (pp) G13	109.33573	
m4 (pp) G13	109.33573	
k4 (pp) G13	109.33573	
n1 (pp) G14	39.440246	
m5 (pp) G14	39.440246	
p2 (pp) G14	39.440246	
n1 (pp) G15	20.853853	
m5 (pp) G15	20.853853	
r2 (pp) G15	20.853853	
n1 (pp) G16	23.067383	
m6 (pp) G16	23.067383	
r1 (pp) G16	23.067383	
n1 (pp) G17	20.554017	
m6 (pp) G17	20.554017	
r2 (pp) G17	20.554017	
n1 (pp) G18	20.613824	
k2 (pp) G18	20.613824	
r1 (pp) G18	20.613824	
n1 (pp) G19	23.161236	
k3 (pp) G19	23.161236	
r1 (pp) G19	23.161236	
n1 (pp) G20	31.382852	
p1 (pp) G20	31.382852	
r1 (pp) G20	31.382852	
n1 (pp) G21	23.842758	
p1 (pp) G21	23.842758	
r2 (pp) G21	23.842758	
n1 (pp) G22	20.377953	
p2 (pp) G22	20.377953	
r1 (pp) G22	20.377953	
n1 (pp) G23	22.861711	
p2 (pp) G23	22.861711	
r2 (pp) G23	22.861711	
n2 (pp) G24	32.518543	
g1 (pp) G24	32.518543	
m4 (pp) G24	32.518543	
n2 (pp) G25	30.329528	
g1 (pp) G25	30.329528	
k4 (pp) G25	30.329528	
n2 (pp) G26	55.330872	
g2 (pp) G26	55.330872	
m4 (pp) G26	55.330872	
n2 (pp) G27	76.316471	
g2 (pp) G27	76.316471	
k4 (pp) G27	76.316471	
n2 (pp) G28	103.19329	
g2 (pp) G28	103.19329	
r2 (pp) G28	103.19329	
n2 (pp) G29	34.521954	
m1 (pp) G29	34.521954	
m4 (pp) G29	34.521954	
n2 (pp) G30	32.535743	
m1 (pp) G30	32.535743	
k4 (pp) G30	32.535743	
n2 (pp) G31	32.044396	
m4 (pp) G31	32.044396	
k1 (pp) G31	32.044396	
n2 (pp) G32	20.769447	
m4 (pp) G32	20.769447	
k3 (pp) G32	20.769447	
n2 (pp) G33	86.168102	
m4 (pp) G33	86.168102	
k4 (pp) G33	86.168102	
n2 (pp) G34	33.854891	
m4 (pp) G34	33.854891	
p1 (pp) G34	33.854891	
n2 (pp) G35	70.382808	
m4 (pp) G35	70.382808	
r1 (pp) G35	70.382808	
n2 (pp) G36	65.841284	
m4 (pp) G36	65.841284	
r2 (pp) G36	65.841284	
n2 (pp) G37	34.651203	
m4 (pp) G37	34.651203	
r3 (pp) G37	34.651203	
n2 (pp) G38	34.269715	
m4 (pp) G38	34.269715	
r4 (pp) G38	34.269715	
n2 (pp) G39	29.618731	
k1 (pp) G39	29.618731	
k4 (pp) G39	29.618731	
n2 (pp) G40	20.40989	
k2 (pp) G40	20.40989	
k3 (pp) G40	20.40989	
n2 (pp) G41	21.450883	
k3 (pp) G41	21.450883	
p1 (pp) G41	21.450883	
n2 (pp) G42	32.123267	
k4 (pp) G42	32.123267	
p1 (pp) G42	32.123267	
n2 (pp) G43	126.37577	
k4 (pp) G43	126.37577	
r1 (pp) G43	126.37577	
n2 (pp) G44	96.078934	
k4 (pp) G44	96.078934	
r2 (pp) G44	96.078934	
n2 (pp) G45	32.958999	
k4 (pp) G45	32.958999	
r3 (pp) G45	32.958999	
n2 (pp) G46	32.704653	
k4 (pp) G46	32.704653	
r4 (pp) G46	32.704653	
n2 (pp) G47	23.769923	
p1 (pp) G47	23.769923	
r2 (pp) G47	23.769923	
g1 (pp) G48	20.32116	
g2 (pp) G48	20.32116	
m2 (pp) G48	20.32116	
g1 (pp) G49	25.692239	
g2 (pp) G49	25.692239	
m3 (pp) G49	25.692239	
g1 (pp) G50	20.753593	
g2 (pp) G50	20.753593	
k3 (pp) G50	20.753593	
g1 (pp) G51	25.225795	
m3 (pp) G51	25.225795	
p1 (pp) G51	25.225795	
g1 (pp) G52	20.980976	
m3 (pp) G52	20.980976	
r1 (pp) G52	20.980976	
g1 (pp) G53	99.168063	
m4 (pp) G53	99.168063	
k4 (pp) G53	99.168063	
g1 (pp) G54	20.182186	
m5 (pp) G54	20.182186	
r1 (pp) G54	20.182186	
g1 (pp) G55	21.421695	
m6 (pp) G55	21.421695	
r1 (pp) G55	21.421695	
g1 (pp) G56	28.159273	
p1 (pp) G56	28.159273	
r1 (pp) G56	28.159273	
g1 (pp) G57	23.51991	
p2 (pp) G57	23.51991	
r1 (pp) G57	23.51991	
g2 (pp) G58	21.764827	
m1 (pp) G58	21.764827	
m3 (pp) G58	21.764827	
g2 (pp) G59	20.132171	
m1 (pp) G59	20.132171	
k2 (pp) G59	20.132171	
g2 (pp) G60	24.387936	
m1 (pp) G60	24.387936	
k3 (pp) G60	24.387936	
g2 (pp) G61	21.002242	
m1 (pp) G61	21.002242	
r2 (pp) G61	21.002242	
g2 (pp) G62	25.552296	
m2 (pp) G62	25.552296	
r2 (pp) G62	25.552296	
g2 (pp) G63	23.584084	
m2 (pp) G63	23.584084	
r3 (pp) G63	23.584084	
g2 (pp) G64	23.321302	
m2 (pp) G64	23.321302	
r4 (pp) G64	23.321302	
g2 (pp) G65	23.87793	
m3 (pp) G65	23.87793	
k1 (pp) G65	23.87793	
g2 (pp) G66	22.169955	
m3 (pp) G66	22.169955	
r2 (pp) G66	22.169955	
g2 (pp) G67	31.174013	
m3 (pp) G67	31.174013	
r3 (pp) G67	31.174013	
g2 (pp) G68	29.791129	
m3 (pp) G68	29.791129	
r4 (pp) G68	29.791129	
g2 (pp) G69	130.73578	
m4 (pp) G69	130.73578	
k4 (pp) G69	130.73578	
g2 (pp) G70	86.162339	
m4 (pp) G70	86.162339	
r2 (pp) G70	86.162339	
g2 (pp) G71	32.074659	
m5 (pp) G71	32.074659	
k6 (pp) G71	32.074659	
g2 (pp) G72	20.499278	
m7 (pp) G72	20.499278	
r2 (pp) G72	20.499278	
g2 (pp) G73	20.546466	
k1 (pp) G73	20.546466	
k3 (pp) G73	20.546466	
g2 (pp) G74	21.222777	
k2 (pp) G74	21.222777	
k3 (pp) G74	21.222777	
g2 (pp) G75	53.078174	
k2 (pp) G75	53.078174	
r2 (pp) G75	53.078174	
g2 (pp) G76	20.199614	
k2 (pp) G76	20.199614	
r4 (pp) G76	20.199614	
g2 (pp) G77	46.269774	
k3 (pp) G77	46.269774	
