name	type	
n1	par	
n2	par	
g1	par	
g2	par	
m1	par	
m2	par	
m3	par	
m4	par	
m5	par	
m6	par	
m7	par	
k1	par	
k2	par	
k3	par	
k4	par	
k5	par	
k6	par	
k7	par	
p1	par	
p2	par	
p3	par	
r1	par	
r2	par	
r3	par	
r4	par	
q1	par	
q2	par	
G1	group_var	
G2	group_var	
G3	group_var	
G4	group_var	
G5	group_var	
G6	group_var	
G7	group_var	
G8	group_var	
G9	group_var	
G10	group_var	
G11	group_var	
G12	group_var	
G13	group_var	
G14	group_var	
G15	group_var	
G16	group_var	
G17	group_var	
G18	group_var	
G19	group_var	
G20	group_var	
G21	group_var	
G22	group_var	
G23	group_var	
G24	group_var	
G25	group_var	
G26	group_var	
G27	group_var	
G28	group_var	
G29	group_var	
G30	group_var	
G31	group_var	
G32	group_var	
G33	group_var	
G34	group_var	
G35	group_var	
G36	group_var	
G37	group_var	
G38	group_var	
G39	group_var	
G40	group_var	
G41	group_var	
G42	group_var	
G43	group_var	
G44	group_var	
G45	group_var	
G46	group_var	
G47	group_var	
G48	group_var	
G49	group_var	
G50	group_var	
G51	group_var	
G52	group_var	
G53	group_var	
G54	group_var	
G55	group_var	
G56	group_var	
G57	group_var	
G58	group_var	
G59	group_var	
G60	group_var	
G61	group_var	
G62	group_var	
G63	group_var	
G64	group_var	
G65	group_var	
G66	group_var	
G67	group_var	
G68	group_var	
G69	group_var	
G70	group_var	
G71	group_var	
G72	group_var	
G73	group_var	
G74	group_var	
G75	group_var	
G76	group_var	
G77	group_var	
G78	group_var	
G79	group_var	
G80	group_var	
G81	group_var	
G82	group_var	
G83	group_var	
G84	group_var	
G85	group_var	
G86	group_var	
G87	group_var	
G88	group_var	
G89	group_var	
G90	group_var	
G91	group_var	
G92	group_var	
G93	group_var	
G94	group_var	
G95	group_var	
G96	group_var	
G97	group_var	
G98	group_var	
G99	group_var	
G100	group_var	
G101	group_var	
G102	group_var	
G103	group_var	
G104	group_var	
G105	group_var	
G106	group_var	
G107	group_var	
G108	group_var	
G109	group_var	
G110	group_var	
G111	group_var	
G112	group_var	
G113	group_var	
G114	group_var	
G115	group_var	
G116	group_var	
G117	group_var	
G118	group_var	
G119	group_var	
G120	group_var	
G121	group_var	
G122	group_var	
G123	group_var	
G124	group_var	
G125	group_var	
G126	group_var	
G127	group_var	
G128	group_var	
G129	group_var	
G130	group_var	
G131	group_var	
G132	group_var	
G133	group_var	
G134	group_var	
G135	group_var	
G136	group_var	
G137	group_var	
G138	group_var	
G139	group_var	
G140	group_var	
G141	group_var	
G142	group_var	
G143	group_var	
G144	group_var	
G145	group_var	
G146	group_var	
G147	group_var	
G148	group_var	
G149	group_var	
G150	group_var	
G151	group_var	
G152	group_var	
G153	group_var	
G154	group_var	
G155	group_var	
G156	group_var	
G157	group_var	
G158	group_var	
